Hour,Count
9/28/2014 8,803
9/28/2014 9,990
9/28/2014 10,1216
9/28/2014 11,1494
9/28/2014 12,1481
9/28/2014 13,1605
9/28/2014 14,1760
9/28/2014 15,1828
9/28/2014 16,1937
9/28/2014 17,1811
9/28/2014 18,1800
9/28/2014 19,1568
9/28/2014 20,1415
9/28/2014 21,1253
9/28/2014 22,1009
9/28/2014 23,621
9/29/2014 0,329
9/29/2014 1,173
9/29/2014 2,150
9/29/2014 3,386
9/29/2014 4,582
9/29/2014 5,886
9/29/2014 6,1402
9/29/2014 7,1758
9/29/2014 8,1690
9/29/2014 9,1404
9/29/2014 10,1113
9/29/2014 11,1138
9/29/2014 12,1096
9/29/2014 13,1297
9/29/2014 14,1469
9/29/2014 15,1697
9/29/2014 16,1883
9/29/2014 17,1955
9/29/2014 18,2053
9/29/2014 19,1792
9/29/2014 20,1727
9/29/2014 21,1509
9/29/2014 22,1103
9/29/2014 23,609
9/30/2014 0,290
9/30/2014 1,165
9/30/2014 2,129
9/30/2014 3,235
9/30/2014 4,415
9/30/2014 5,867
9/30/2014 6,1582
9/30/2014 7,2030
9/30/2014 8,1866
9/30/2014 9,1274
9/30/2014 10,1183
9/30/2014 11,1214
9/30/2014 12,1176
9/30/2014 13,1538
9/30/2014 14,1704
9/30/2014 15,2128
9/30/2014 16,2370
9/30/2014 17,2682
9/30/2014 18,2625
9/30/2014 19,2404
9/30/2014 20,2246
9/30/2014 21,1961
9/30/2014 22,1347
9/30/2014 23,0
